Season,Episode,Number,Title,Director,Writer,Date,Code,Viewers,Description,Rating,ANGEL,ANYA,BUFFY,CORDELIA,DAWN,FAITH,GILES,JOYCE,RILEY,SPIKE,WILLOW,XANDER
1,11,11,"""Out of Mind, Out of Sight""",Reza Badiyi,Story by : Joss WhedonTeleplay by : Ashley Gable & Thomas A. Swyden,"May 19, 1997",4V11,3.36,"In the changing rooms, a student hears a girl laughing, but sees nothing, before being beaten with a baseball bat. Later, a girl falls down the stairs but claims she was pushed, although nobody sees who pushed her. Cordelia rescues her English teacher from suffocation. Buffy hears a flute playing, and deduces that Marcie, a flautist who disappeared some months ago, has become invisible and is behind the incidents. Separately, Angel tells Giles that he can find a book vital to Giles's research about The Master. Giles suggests that Marcie became invisible as a direct result of being ignored by everybody at the school. Cordelia asks Buffy for help, and confesses that, despite being popular, she often feels alone. Marcie traps Xander, Willow, and Giles in the boiler room filling up with gas. Angel rescues them before giving Giles the book. Marcie kidnaps Cordelia and Buffy, taking both to The Bronze and tying them up. Marcie plans to disfigure Cordelia's face, slashing it once before Buffy breaks loose. Initially hampered by being unable to see Marcie, Buffy focuses and defeats her. Men dressed in black arrive and take Marcie to a class with other invisible people, to learn about assassination.",7.8,0.03165015704276395,0.0,0.20536361439961343,0.2640734476926794,0.0,0.0,0.1461705726020778,0.0,0.0,0.0,0.06281710558105823,0.09760811790287509
1,12,12,"""Prophecy Girl""",Joss Whedon,Joss Whedon,"June 2, 1997",4V12,3.97,"Reading the book that Angel gave him, Giles discovers a prophecy that the Slayer shall die in battle against The Master. An earthquake shakes Sunnydale, indicating that the prophecy is imminent. Xander asks Buffy to the upcoming prom, but she declines. Buffy overhears Angel and Giles discussing the prophecy, and that she will die the following night. She quits slaying in an attempt to avoid her fate, preparing instead to go to the prom. Willow and Cordelia come across a room full of students killed by vampires. Willow tells Buffy, and Buffy decides to fight after all. Giles attempts to persuade Buffy not to fight, but she knocks him out and leaves. Buffy meets with the Anointed One, who leads her to The Master. Xander persuades Angel to join the fight. The Master easily overpowers Buffy, biting her and leaving her for dead. He breaks free of the magical barrier holding him captive. Jenny and Willow are surrounded by vampires, but are rescued by Cordelia. Angel and Xander find Buffy and resuscitate her. Displaying newfound strength, Buffy confronts The Master. After a brief fight, Buffy overpowers him and he is impaled on broken furniture, closing the Hellmouth.",8.9,0.048426150121065374,0.0,0.23849878934624696,0.07082324455205811,0.0,0.0,0.20006053268765134,0.04933414043583535,0.0,0.0,0.1016949152542373,0.2179176755447942
2,1,13,"""When She Was Bad""",Joss Whedon,Joss Whedon,"September 15, 1997",5V01,4.37,"After a quiet summer, Xander and Willow are attacked by a vampire, but saved by Buffy, who has returned from Los Angeles. Buffy has a dream where the Master, whom she had killed earlier, attacks her again. Angel appears in Buffy's room and warns her that The Anointed One is gathering vampires to him. At The Bronze, Buffy flirts with Xander in front of Angel and Willow. Cordelia confronts Buffy about her behavior, but Buffy rejects the advice and leaves. Soon after Buffy's back is turned, Cordelia is attacked and kidnapped. Buffy discovers that The Master's skeleton has disappeared from the grave, and Giles suggests that The Anointed One will attempt to use the skeleton to revive him. Someone delivers a message to the library, summoning Buffy to The Bronze. On the way, she runs into Angel, and challenges him to a fight, but they go to the Bronze together. Once there, they find only a single vampire. At the library, several vampires capture Giles and Willow, taking them, along with Cordelia and Jenny Calendar, to The Master's skeleton. Buffy finds them and attacks the vampires, overpowering them and smashing the skeleton, while Angel and Xander rescue the prisoners.",8.2,0.045431472081218276,0.0,0.2383248730964467,0.0649746192893401,0.0,0.0,0.12715736040609138,0.025380710659898477,0.0,0.0,0.11142131979695431,0.19137055837563452
2,2,14,"""Some Assembly Required""",Bruce Seth Green,Ty King,"September 22, 1997",5V02,4.42,"After killing some vampires, Buffy and Angel find an open grave, from which the body has been stolen. Later, Cordelia and Angel come across body parts belonging to three girls who died in a car crash. Buffy and her friends suspect that two science students, Chris and Eric, have been using the body parts to create a new body, with the intention of resurrecting it to build a bride for Chris's brother Daryl, who had died several months earlier and has already been reanimated. Chris and Eric decide that they need a fresh head, as the process of adding formaldehyde to the corpses has caused the brains to decay too quickly. They attempt to kidnap Cordelia, but Buffy arrives in time to rescue her. Buffy persuades Chris to abandon the plan, but Eric and Daryl kidnap Cordelia at a football game. Chris leads Buffy to the lab, where she fights Daryl. During the fight, Buffy accidentally sets the lab on fire. Daryl stays with the unfinished body and burns along with it. Separately, Giles and Jenny enjoy a first date and make plans for a second, while Angel and Buffy walk to his home, holding hands.",7.2,0.061150261423050696,0.0,0.25687656285519433,0.1118436008183678,0.0,0.0,0.1377585814957945,0.0,0.0,0.0,0.10434189588542851,0.10547851784496476
2,3,15,"""School Hard""",John T. Kretchmer,Story by : Joss Whedon & David GreenwaltTeleplay by : David Greenwalt,"September 29, 1997",5V03,4.86,"Buffy and a fellow student, Sheila, are tasked with helping out on the upcoming parent-teacher evening. Two vampires, Spike and Drusilla, who is currently ill, arrive in Sunnydale, and meet The Anointed One. Spike offers to deal with Buffy. At The Bronze, Spike introduces himself to Buffy and promises to kill her. Spike takes Sheila to Drusilla, who turns Sheila into a vampire. Angel reveals that he knows Spike from his past life as Angelus, and Giles learns that Spike has previously killed two Slayers. At the parent-teacher evening, Spike, Sheila, and several other vampires attack the attendees, including Buffy's mother Joyce and Principal Snyder. Buffy locks the adults in a room for safety before facing the vampires. Angel arrives, pretending to be Angelus, but Spike sees through the ruse. Angel and Xander retreat. Sheila joins Buffy, and attempts to attack her, but Giles warns Buffy in time. Spike defeats Buffy, but before he can kill her, Joyce attacks him, and he leaves. Snyder covers up the incident as gang-related. The Anointed One attempts to extract penance from Spike, but Spike forces him into sunlight, killing him. Spike declares that there should be ""more fun"" around Sunnydale from now on.",8.9,0.03596757852077001,0.0,0.23024316109422494,0.04635258358662614,0.0,0.0,0.09878419452887538,0.09599797365754813,0.0,0.1540020263424519,0.05800405268490375,0.07016210739614995
2,4,16,"""Inca Mummy Girl""",Ellen S. Pressman,Matt Kiene & Joe Reinkemeyer,"October 6, 1997",5V04,4.7,"At a museum, a mummified Incan princess is revived after sucking the life force from a student who broke her seal of protection. Buffy and her friends notice that the student is missing, and go to the museum, finding his corpse in place of the mummy's. The mummy kills an exchange student who was due to meet Buffy, and takes his place, calling herself Ampata. Xander is smitten with Ampata, and the two start a relationship. Ampata asks Giles to destroy the seal. A man later revealed to be the princess's bodyguard attacks Ampata on several occasions, but she eventually kills him. Ampata tells Buffy the story of how the Incan girl was sacrificed to save her people, a story Buffy sympathizes with as the Slayer. Xander and Ampata go to a dance together. At the dance, the guitarist, Oz, notices Willow. Buffy and Giles find the real exchange student's body, and realize that Ampata is the mummy. Ampata kisses Xander, but pushes him away before sucking his life force. Giles tries to repair the seal, but Ampata stops him. In the ensuing fight, Ampata tries to restore herself fully by kissing Xander, but wastes away.",7.3,0.0,0.0,0.2166048237476809,0.03896103896103896,0.0055658627087198514,0.0,0.1280148423005566,0.011595547309833023,0.0,0.0,0.10551948051948051,0.2388682745825603
2,5,17,"""Reptile Boy""",David Greenwalt,David Greenwalt,"October 13, 1997",5V05,4.77,"A girl attempts to escape a frat party, but is recaptured. Buffy and Giles are pleased at the apparent lack of activity around the Hellmouth. Giles hopes to use the time to train, but Buffy is reluctant. Buffy meets Angel, and they discuss dating, but Angel is reluctant and Buffy leaves angrily. Buffy chooses to go with Cordelia to a frat party. Xander also attends the party, but is recognized as a gate crasher and forced to dress as a girl. At the party, the pair are drugged and chained up in the basement along with the girl captured earlier. The frat boys are in fact members of a cult worshiping Machida, a reptile demon, to whom the girls are offered as a sacrifice. Giles, Willow, and Angel realize the danger Buffy is in. Cordelia is chosen as the first sacrifice, but Buffy distracts Machida, breaks free of her chains and kills the demon, while Giles, Willow, Xander, and Angel arrive and subdue the rest of the party. The frat boys are all arrested and the cult collapses. Giles promises to push Buffy less hard in future. Angel asks to have coffee with Buffy.",7.3,0.03463100071650346,0.0,0.18461905899211847,0.11965607833771197,0.0,0.0,0.11655122999761165,0.0,0.0,0.0,0.15165989968951515,0.11511822307141151
2,6,18,"""Halloween""",Bruce Seth Green,Carl Ellsworth,"October 27, 1997",5V06,5.88,"Buffy slays a vampire while another vampire records the fight. Spike studies the footage. Later, Buffy goes to The Bronze to meet Angel, but leaves after seeing him with Cordelia. Eager to learn more about Angel's past, Willow and Buffy sneak into Giles' office and retrieve a diary. In preparation for Halloween, Buffy buys a dress from a man, Ethan Rayne, who performs an incantation turning everybody who bought their costume from him into a real version of their costume. Willow becomes a ghost and Xander a soldier, while Buffy forgets she is the Slayer. The three retreat to Buffy's house along with Cordelia. In the chaos, Spike and several vampires emerge. Willow leaves to get Giles, while Angel arrives to help. Angel repels a vampire, but Buffy, scared, runs outside. Willow and Giles visit Ethan's shop, and Giles and Ethan recognize each other. Spike finds Buffy and attacks her. Giles breaks the spell in time for Buffy to remember her true self and defeat Spike, who retreats. Angel and Buffy meet afterwards, and, after a short conversation, they kiss. Giles finds a note from Ethan, who promises to return.",9.0,0.027589937787395186,0.0,0.2878009196645929,0.10386800108195834,0.0,0.0,0.06735190695158236,0.0,0.0,0.034352177441168516,0.1695969705166351,0.14606437652150392
2,7,19,"""Lie to Me""",Joss Whedon,Joss Whedon,"November 3, 1997",5V07,4.98,"Angel runs into Drusilla and warns her to leave town. Buffy sees the two together. Billy ""Ford"" Fordham, a student who knew Buffy at LA, arrives, claiming to have transferred to Sunnydale, and joins Buffy and her friends. Buffy asks Angel about the previous night, but he lies about it, prompting Buffy to leave. Ford reveals that he knows Buffy is the Slayer. Angel and Willow discover that Ford has not in fact transferred to Sunnydale, and that Ford and his friends admire vampires. Buffy and Ford meet two vampires. Buffy kills one, but Ford lets the other go, telling Buffy that he killed it. Later, Buffy sees the same vampire fleeing the library, and realizes that Ford lied to her. Ford meets with Spike and offers to deliver Buffy to him in exchange for becoming a vampire. Buffy confronts Angel, who reveals that he turned Drusilla into a vampire. Buffy visits Ford and his friends, who lock her in with them. Spike and several vampires attack. Buffy captures Drusilla, forcing Spike to call off the attack. She locks them in with Ford, who is transformed into a vampire. Buffy kills Ford shortly after he rises from his grave.",8.4,0.09798395837849555,0.0,0.27509213093431606,0.006936917407327119,0.0,0.0,0.07110340342510298,0.0,0.0,0.07175373943203989,0.09733362237155864,0.046173856492521134
2,8,20,"""The Dark Age""",Bruce Seth Green,Dean Batali & Rob Des Hotel,"November 10, 1997",5V08,5.59,"A man looking for Giles is strangled to death by a woman, Dierdre, who melts and dies. Police, linking the deaths to Giles, take him to the morgue. He recognizes the man as Philip, whom he knew in London, along with a tattoo that Giles also has. Buffy and Angel fight vampires at the hospital. Buffy, who expected Giles there, visits him afterwards, finding him dishevelled. Giles learns that another old friend from the same group is also dead. Buffy, investigating, finds Ethan and learns that he knows Giles. Philip, still dead, arrives and attacks. Buffy traps Philip, who melts away. Some of the liquid touches Jenny. Willow discovers that the tattoo is the Mark of Eyghon, a demon who can pass between bodies. A possessed Jenny attacks Giles, but Buffy stops her, although Jenny escapes. Giles reveals that he and some friends used Eyghon like a drug, but lost control of the demon. Ethan, who also has the mark, captures Buffy and tattoos her, erasing his own. Jenny arrives, fully possessed, and attacks Buffy and Giles. Angel arrives and attacks Jenny. Eyghon passes to Angel, but Angel's vampire form defeats Eyghon and expels the demon.",7.9,0.0117096018735363,0.0,0.2651574290918553,0.06999739786625032,0.0,0.0,0.23106947697111632,0.0,0.0,0.0,0.11839708561020036,0.0965391621129326
2,9,21,"""What's My Line (Part 1)""",David Solomon,Howard Gordon & Marti Noxon,"November 17, 1997",5V09,5.04,"Seeking a cure for Drusilla's illness, Spike tries to read a book stolen from Giles, but learns that it is in code. Angel visits Buffy, warning her of impending danger and arranging a date. A vampire, seen by Buffy, steals the code key from a mausoleum and escapes. Seeking to kill Buffy before she can interfere, Spike calls on an order of assassins. Willow and Oz are recruited by a software company, meeting for the first time. Buffy goes to meet Angel, but is attacked. She and Angel kill the assassin. Angel recognizes the assassin's symbol and asks Buffy to hide. As they kiss goodbye, Kendra, another Slayer, watches from a distance. Giles also warns Buffy that there may be more assassins after her, including shapeshifters, making Buffy paranoid. She retreats to Angel's house. Angel learns from Willy, a bar owner, that Spike is behind the assassins, but Kendra captures and imprisons him. Cordelia and Xander search for Buffy at her house, and are visited by an assassin made from hundreds of worm-like creatures. Kendra finds Buffy and they fight, before Kendra introduces herself as a Slayer.",8.4,0.07236315086782376,0.0,0.25020026702269693,0.032309746328437916,0.0,0.0,0.1911882510013351,0.0,0.0,0.05714285714285714,0.08304405874499332,0.1679572763684913
2,10,22,"""What's My Line (Part 2)""",David Semel,Marti Noxon,"November 24, 1997",5V10,5.41,"Buffy and Kendra, who became a Slayer after Buffy's death the previous year, break off their fight and agree to work together. Willy finds Angel and takes him to Spike, who in turn presents him to Drusilla. At Buffy's house, the worm assassin attacks Xander and Cordelia; they hide in the basement. Xander and Cordelia, still trapped, argue and insult each other, but then suddenly kiss, before attempting to escape. At the careers fair, an assassin posing as a policewoman shoots at Buffy, hitting Oz after he jumps in front of Willow. Buffy and Kendra fight her off. Giles discovers that Drusilla can use Angel in a ritual to cure her. While preparing to rescue Angel, Kendra and Buffy talk about their different approaches to the life of a Slayer. After interrogating Willy, Buffy rushes to Angel's aid against Kendra's advice, and is immediately captured. Spike begins the ritual, and the assassins bring Buffy to Spike. Kendra arrives, joined by Willow, Xander, Giles, and Cordelia, and the group fight the vampires and assassins, killing several and rescuing Angel. Xander and Cordelia begin a relationship. Drusilla, now restored to full health, pulls an injured Spike from the wreckage.",8.7,0.018377848566527813,0.0,0.254839500122519,0.07914726782651312,0.0,0.0,0.1320754716981132,0.0,0.0,0.0901739769664298,0.049987748100955645,0.09188924283263906
2,11,23,"""Ted""",Bruce Seth Green,David Greenwalt & Joss Whedon,"December 8, 1997",5V11,6.09,"Buffy returns home to find Joyce kissing a man, Ted. Buffy is perturbed at the thought of her mother dating, but Angel persuades her to give Ted a chance. At a minigolf outing, Ted gets angry at Buffy and threatens her, before reverting to normal upon seeing Joyce. Joyce does not believe Buffy's account of the incident. After another argument, Buffy comes home to find Ted in her bedroom. Ted confronts her about being a Slayer, and takes her diary. Buffy tries to stop him, but Ted hits her, and the two fight. Buffy kicks Ted down the stairs, and he dies. Buffy is horrified, although police treat the death as accidental. Xander, Willow, and Cordelia investigate Ted and discover that he has had several previous marriages. Buffy, in her room and distraught, is surprised by Ted, who attacks her. Buffy stabs him, revealing that he is an android, but is overpowered. At Ted's house, Xander finds the bodies of his four previous wives. Ted meets Joyce, lying that he was only unconscious, but some damage causes Ted to malfunction and act aggressively towards Joyce. Buffy destroys Ted soon afterwards.",7.7,0.011532916866890917,0.0,0.24291206150888997,0.04132628543969245,0.0,0.0,0.09538683325324364,0.11052378664103796,0.0,0.0,0.07520422873618453,0.16146083613647286
2,12,24,"""Bad Eggs""",David Greenwalt,Marti Noxon,"January 12, 1998",5V12,6.48,"Buffy rescues a woman from a vampire, Lyle, who escapes. At health class, the teacher, Mr Whitmore, assigns everybody an egg to look after. Buffy's egg hatches at night, inserting a tendril into Buffy's ear while she is asleep. Buffy wakes up, ill, but the egg is back to normal. The following night, Mr Whitmore attacks a security guard who has found a large hole in the basement. Buffy's egg hatches soon after, revealing a creature that attempts to attach itself to Buffy. Buffy kills the creature and takes it to school to study. Willow and Cordelia, under the creatures' control, knock Buffy and Xander unconscious and go the basement, joined by several students. Giles places a creature on Joyce's back and they too go to the basement, digging up the floor to reveal the mother creature. Buffy and Xander follow another possessed student to the basement. Lyle and his brother Tector attack Buffy, and all three fight the possessed students. The mother creature swallows Tector and Buffy, but, while inside the creature, she kills it, freeing everybody from possession. Lyle flees. The incident is covered up as a gas leak.",6.5,0.019242333132892364,0.0,0.27059530968129886,0.07967528562838244,0.0,0.0,0.10162357185808779,0.12176788935658449,0.0,0.0,0.07606734816596512,0.2047504509921828
